MolePro class,Biolink class,MolePro field name,MolePro CURIE prefix,Biolink CURIE prefix
compound,SmallMolecule,pubchem,CID:,PUBCHEM.COMPOUND
compound,SmallMolecule,chembl,ChEMBL:,CHEMBL.COMPOUND
compound,SmallMolecule,drugbank,DrugBank:,DRUGBANK
compound,SmallMolecule,hmdb,HMDB:,HMDB
compound,SmallMolecule,inchikey,<none>,INCHIKEY
compound,SmallMolecule,inchi,<none>,INCHI
compound,SmallMolecule,smiles,<none>,
compound,SmallMolecule,chebi,CHEBI:,CHEBI
compound,SmallMolecule,mesh,MESH:,MESH
compound,SmallMolecule,unii,UNII:,UNII
compound,SmallMolecule,kegg,KEGG.COMPOUND:,KEGG.COMPOUND
compound,SmallMolecule,gtopdb,GTOPDB:,GTOPDB
compound,SmallMolecule,chembank,ChemBank:,ChemBank
compound,SmallMolecule,drugcentral,DrugCentral:,DrugCentral
compound,SmallMolecule,cas,CAS:,CAS
compound,SmallMolecule,mychem_info,<none>,
compound,SmallMolecule,bindingdb,BINDINGDB:,BINDINGDB
compound,SmallMolecule,pdb,PDB.LIGAND:,PDB.LIGAND
compound,SmallMolecule,lipidmaps,LIPIDMAPS:,LIPIDMAPS
compound,SmallMolecule,bigg,BIGG.METABOLITE:,BIGG.METABOLITE
,,,,
gene,Gene,entrez,NCBIGene:,NCBIGene
gene,Gene,hgnc,HGNC:,HGNC
gene,Gene,mim,OMIM:,OMIM
gene,Gene,ensembl,ENSEMBL:,ENSEMBL
gene,Gene,mygene_info,<none>,
,,,,
drug,Drug,rxnorm,RXCUI:,RXCUI
,,,,
disease,Disease,disease_ontology,DOID:,DOID
disease,Disease,hpo,HP:,HP
disease,Disease,omim,OMIM:,OMIM
disease,Disease,umls,UMLS:,UMLS
disease,Disease,nci_thesaurus,NCIT:,NCIT
disease,Disease,mondo,MONDO:,MONDO
disease,Disease,snomed,SNOMEDCT:,SNOMEDCT
disease,Disease,mesh,MESH:,MESH
,,,,
mechanism,MolecularEntity,chembl,ChEMBL:,CHEMBL.TARGET
,,,,
reaction,MolecularActivity,bigg,BIGG.REACTION:,BIGG.REACTION
reaction,MolecularActivity,metanetx,METANETX.REACTION:,METANETX.REACTION
reaction,MolecularActivity,seed,SEED.REACTION:,SEED.REACTION
reaction,MolecularActivity,rhea,RHEA:,RHEA
reaction,MolecularActivity,biocyc,MetaCyc:,MetaCyc
reaction,MolecularActivity,ec,EC:,EC
reaction,MolecularActivity,kegg,KEGG.REACTION:,KEGG.REACTION
,,,,
assay,Assay,chembl,ChEMBL:,CHEMBL.ASSAY
,,,,
protein,Protein,uniprot,UniProtKB:,UniProtKB
protein,Protein,ensembl,ENSEMBL:,ENSEMBL
,,,,
MolecularActivity,MolecularActivity,go,GO:,GO
BiologicalProcess,BiologicalProcess,go,GO:,GO
CellularComponent,CellularComponent,go,GO:,GO
,,,,
pathway,Pathway,kegg,KEGG:,KEGG
pathway,Pathway,reactome,REACT:,REACT
pathway,Pathway,msigdb,MSigDB:,MSigDB